trip_id,timestamp,coords,segment,%,bus_stop_number,expected_arrival_time,delay,accumulated_distance
132202411051458_231_132-34,2024-11-05 16:00:03,"[54.2575798034668, 18.633169174194336]",['54.258240392393_18.633353047906_54.254378091775_18.633067648955'],0.8391932338713479,,[-19.05],19.05,[15.57460634]
156202411051534_111_156-08,2024-11-05 16:00:05,"[54.30635070800781, 18.56918907165528]",['54.306379989744_18.569114123279_54.306337569567_18.569239609098'],0.9806694215001447,,[-7.083333333333333],7.083333333333333,[7.05801136]
210202411051515_301_210-05,2024-11-05 16:00:04,"[54.3703498840332, 18.55780029296875]",['54.370532121972_18.560181791423_54.372289887357_18.552424813894'],0.37034183270094534,,[-15.066666666666666],15.066666666666666,[9.51630385]
100202411051544_22_100-02,2024-11-05 16:00:05,"[54.35979843139648, 18.64822006225586]",['54.358478705902_18.653189613193_54.359750515567_18.647868149284'],0.74987768086085,,[-12.083333333333334],12.083333333333334,[1.4939965]
115202411051523_102_115-07,2024-11-05 16:00:03,"[54.342071533203125, 18.60150909423828]",['54.342587906044_18.601704556003_54.340915386754_18.601232686944'],0.5315608264348873,,[-6.05],6.05,[9.12678502]
227202411051537_21_227-02,2024-11-05 16:00:03,"[54.38790130615234, 18.597070693969727]",['54.388432515106_18.596088518008_54.386913957547_18.601999702115'],0.3300411660474419,,[-10.05],10.05,[5.46737982]
4202411051542_72_004-09,2024-11-05 16:00:04,"[54.34621810913086, 18.63092041015625]",['54.345374141593_18.625300599871_54.347789955858_18.633409421895'],0.2726320254181072,,[-1.0666666666666667],1.0666666666666667,[5.91447151]
167202411051501_32_167-03,2024-11-05 16:00:04,"[54.35145950317383, 18.63945960998535]",['54.35129554702_18.637055299689_54.351773852814_18.643583907758'],0.9044538934246917,STOP 30,"[0, -13.066666666666666]",13.066666666666666,[18.03822968]
167202411051601_32_167-05,2024-11-05 16:00:01,"[54.37493133544922, 18.46368980407715]",['54.374714303005_18.463059322703_54.375087919995_18.46329806101'],0,STOP 1,"[0, 0.9833333333333333]",,[0.05223972]
199202411051552_201_199-02,2024-11-05 16:00:04,"[54.4139404296875, 18.5976505279541]",['54.413734263443_18.596303185465_54.412020103011_18.60323126748'],0.12828436633750884,,[-2.066666666666667],2.066666666666667,[2.52203399]
